Crime Type,Area,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Theft,Hauz Khas,2023-12-14,00:30:12,Medium,Laugh most analysis woman now back go time computer.,17,Hauz Khas PS,Cloudy,Afternoon,Police
Burglary,Connaught Place,2024-11-22,17:27:34,High,Central design result point message behavior.,38,Connaught Place PS,Cloudy,Night,Citizen
Kidnapping,Vasant Kunj,2023-11-12,21:58:30,Low,You scientist reason determine common.,54,Vasant Kunj PS,Rainy,Morning,Police
Harassment,Connaught Place,2025-01-20,02:19:06,Low,Suddenly president rather lead space as skill bring add.,12,Connaught Place PS,Cloudy,Afternoon,CCTV
Assault,Mayur Vihar,2025-01-26,03:47:43,Medium,Small let from why season new trial dream.,25,Mayur Vihar PS,Rainy,Night,Citizen
Burglary,Hauz Khas,2023-02-22,15:24:27,Medium,His himself pick listen cup.,27,Hauz Khas PS,Rainy,Morning,Police
Kidnapping,Paharganj,2024-04-27,16:22:15,High,Some rate watch create fund discover play ok toward she on.,12,Paharganj PS,Rainy,Night,Citizen
Assault,Khan Market,2024-09-02,15:52:53,High,Green nothing simple shoulder himself prepare level see fund.,32,Khan Market PS,Foggy,Afternoon,Police
Kidnapping,Janakpuri,2024-12-26,03:18:11,Low,Beat study our culture some.,47,Janakpuri PS,Cloudy,Afternoon,Police
Kidnapping,Janakpuri,2024-06-17,14:00:59,High,Wind decision us matter network at spend mind.,25,Janakpuri PS,Clear,Night,Police
Assault,Lajpat Nagar,2023-12-03,14:49:59,High,Affect whatever six billion military team chair help course camera.,64,Lajpat Nagar PS,Foggy,Afternoon,CCTV
Burglary,Saket,2024-11-25,17:52:26,High,Your face avoid choice carry who four stock that.,20,Saket PS,Foggy,Morning,CCTV
Burglary,Paharganj,2024-04-13,17:28:07,Low,Practice democratic young spring former fast who.,38,Paharganj PS,Foggy,Night,Citizen
Kidnapping,Greater Kailash,2024-10-31,23:35:43,Medium,Maybe artist dark raise do.,58,Greater Kailash PS,Clear,Morning,Citizen
Stalking,Hauz Khas,2023-10-29,13:25:32,Low,At sport not nearly along artist.,33,Hauz Khas PS,Clear,Afternoon,Police
Theft,Laxmi Nagar,2024-10-26,05:11:11,High,Several affect quality whatever heart require card.,57,Laxmi Nagar PS,Foggy,Evening,CCTV
Kidnapping,Vasant Kunj,2023-09-23,18:50:14,Medium,Team us too fight group.,62,Vasant Kunj PS,Clear,Afternoon,Citizen
Assault,Vasant Kunj,2025-01-05,08:31:50,Low,Fine general history century Mrs can something old evening.,13,Vasant Kunj PS,Foggy,Night,Police
Burglary,Connaught Place,2025-01-24,18:05:50,Medium,Act thank upon these degree agent him agent.,17,Connaught Place PS,Foggy,Afternoon,Citizen
Theft,Sarojini Nagar,2023-11-05,06:21:55,Low,Billion fund pass very force oil cold long them.,29,Sarojini Nagar PS,Cloudy,Morning,Citizen
Harassment,Ashok Vihar,2024-10-03,13:46:02,High,Soldier analysis street few class account less foreign.,45,Ashok Vihar PS,Cloudy,Evening,Police
Burglary,Paharganj,2023-11-24,21:04:03,High,Out even light news find responsibility.,13,Paharganj PS,Cloudy,Evening,Police
Assault,Sarojini Nagar,2023-05-05,15:23:46,High,Street any exist though.,25,Sarojini Nagar PS,Clear,Morning,Citizen
Harassment,Mayur Vihar,2023-07-03,22:37:36,Low,South family yes name million.,50,Mayur Vihar PS,Rainy,Night,Citizen
Assault,Janakpuri,2023-07-08,20:01:29,Medium,Box to land region so kitchen risk worry impact clearly.,31,Janakpuri PS,Rainy,Morning,Citizen
Burglary,Lajpat Nagar,2023-02-11,17:21:00,Medium,North world war explain attorney one phone.,61,Lajpat Nagar PS,Rainy,Afternoon,Citizen
Assault,Rohini,2023-03-02,17:54:08,Low,Conference today student through tell prepare central feel part nice.,25,Rohini PS,Clear,Evening,CCTV
Harassment,Lajpat Nagar,2024-09-06,05:28:04,High,Data away enter machine discussion officer.,45,Lajpat Nagar PS,Foggy,Afternoon,Police
Assault,Sarojini Nagar,2024-09-22,23:30:39,Low,Believe travel stay understand.,51,Sarojini Nagar PS,Clear,Night,Police
Burglary,Pitampura,2023-05-18,12:47:13,Low,Create just buy lose though.,70,Pitampura PS,Cloudy,Evening,Police
Theft,Vasant Kunj,2024-09-10,09:08:14,High,Recently yeah piece seat view.,46,Vasant Kunj PS,Clear,Morning,CCTV
Stalking,Vasant Kunj,2024-09-19,04:02:35,High,Well sort because daughter be upon agency yard paper.,40,Vasant Kunj PS,Rainy,Afternoon,Citizen
Kidnapping,Lajpat Nagar,2023-10-24,15:25:12,Medium,Focus rock design message week important law idea style put.,25,Lajpat Nagar PS,Cloudy,Night,Police
Stalking,Dwarka,2024-11-07,20:28:55,Low,Its down return down matter scene federal.,15,Dwarka PS,Foggy,Night,Citizen
Stalking,Rohini,2023-04-20,01:20:18,Low,Music moment exactly easy them look owner.,40,Rohini PS,Rainy,Night,CCTV
Stalking,Greater Kailash,2024-03-03,15:52:55,High,World weight wide save never allow live magazine southern.,11,Greater Kailash PS,Cloudy,Morning,Police
Theft,Lajpat Nagar,2024-12-04,08:23:51,Low,Seem sister which view work ability how instead couple.,11,Lajpat Nagar PS,Clear,Evening,CCTV
Harassment,Dwarka,2023-06-28,04:35:22,Low,Face drive white power explain meet federal offer you.,33,Dwarka PS,Clear,Morning,Citizen
Assault,Greater Kailash,2023-06-30,14:47:34,Medium,New deal newspaper almost education deal eight.,25,Greater Kailash PS,Clear,Morning,Citizen
Stalking,Pitampura,2023-10-01,00:03:33,Low,Discover rich front necessary sea election oil.,40,Pitampura PS,Foggy,Evening,Police
Stalking,Connaught Place,2024-09-07,04:13:53,Medium,Rest leg subject old.,37,Connaught Place PS,Rainy,Afternoon,CCTV
Burglary,Khan Market,2024-10-17,09:07:20,Low,Kid truth pretty condition each agree agree green.,31,Khan Market PS,Cloudy,Morning,Citizen
Kidnapping,Saket,2024-07-22,22:49:17,High,Trade use son loss growth.,37,Saket PS,Rainy,Evening,CCTV
Stalking,Hauz Khas,2024-10-17,22:58:55,High,Democrat similar rest rest nice best.,34,Hauz Khas PS,Foggy,Evening,CCTV
Kidnapping,Janakpuri,2023-06-23,22:55:06,Low,Media five central inside other send research federal audience at cost.,16,Janakpuri PS,Foggy,Night,Police
Burglary,Sarojini Nagar,2023-08-07,17:27:20,Medium,Personal poor inside call girl work save.,59,Sarojini Nagar PS,Clear,Morning,Police
Burglary,Rajouri Garden,2023-04-07,01:14:43,Low,Late order consumer believe collection each meet.,28,Rajouri Garden PS,Rainy,Afternoon,Police
Burglary,Janakpuri,2024-10-30,18:43:55,Low,Free never everybody film population inside.,11,Janakpuri PS,Cloudy,Evening,Citizen
Kidnapping,Rohini,2024-05-25,21:03:15,High,Serious argue building letter society second ask teach.,21,Rohini PS,Clear,Afternoon,Citizen
Burglary,Greater Kailash,2023-10-11,13:13:20,Low,Approach region yourself contain career next.,11,Greater Kailash PS,Clear,Afternoon,CCTV
Assault,Vasant Kunj,2024-10-31,00:53:36,High,Return available room against expect main clear among.,46,Vasant Kunj PS,Foggy,Morning,CCTV
Harassment,Lajpat Nagar,2025-01-20,19:36:55,High,A investment feeling none general others inside.,11,Lajpat Nagar PS,Rainy,Evening,Citizen
Burglary,Sarojini Nagar,2023-07-04,11:08:36,High,Answer film serious help dark bring second specific field measure.,50,Sarojini Nagar PS,Rainy,Afternoon,Police
Theft,Janakpuri,2023-06-29,19:00:56,Medium,Citizen final area raise standard voice fact.,49,Janakpuri PS,Foggy,Evening,CCTV
Burglary,Okhla,2024-11-14,13:25:07,Low,Arm of pass maybe audience yeah.,55,Okhla PS,Foggy,Morning,Citizen
Theft,Dwarka,2024-01-30,04:14:58,Low,Probably suddenly during home property develop lead memory.,39,Dwarka PS,Rainy,Afternoon,Citizen
Burglary,Khan Market,2024-04-21,04:31:27,Low,Body popular stand state especially.,69,Khan Market PS,Clear,Night,Citizen
Harassment,Rohini,2023-05-01,18:50:06,Medium,Say edge ten understand let difference store.,48,Rohini PS,Clear,Morning,Police
Burglary,Rajouri Garden,2025-01-09,11:37:08,High,Character away happy manage from wish report among assume up.,22,Rajouri Garden PS,Cloudy,Night,Citizen
Assault,Chandni Chowk,2023-02-16,00:41:14,Medium,Sort management charge guess also ready they shake large guy.,24,Chandni Chowk PS,Clear,Morning,Police
Assault,Chandni Chowk,2023-03-17,05:48:00,High,Already group lawyer knowledge field total.,34,Chandni Chowk PS,Clear,Morning,CCTV
Stalking,Pitampura,2024-02-16,01:00:55,High,Song answer daughter read loss enjoy sure figure age.,39,Pitampura PS,Cloudy,Afternoon,Police
Stalking,Dwarka,2023-10-16,09:22:05,Low,Fire religious if task actually walk green sound appear detail.,39,Dwarka PS,Cloudy,Afternoon,Citizen
Stalking,Mayur Vihar,2023-05-20,07:35:49,Low,Pretty scene north catch with space old media.,25,Mayur Vihar PS,Foggy,Night,Police
Kidnapping,Mayur Vihar,2023-05-05,18:30:49,High,Candidate that owner economic brother education.,64,Mayur Vihar PS,Rainy,Evening,CCTV
Stalking,Hauz Khas,2024-10-02,22:00:50,High,Spend system toward investment will probably.,44,Hauz Khas PS,Clear,Afternoon,CCTV
Assault,Chandni Chowk,2023-04-09,05:24:41,Medium,Determine Democrat approach while after carry.,43,Chandni Chowk PS,Rainy,Afternoon,CCTV
Assault,Rajouri Garden,2024-09-30,08:24:34,Medium,Sure produce news out edge half two such nearly pass.,56,Rajouri Garden PS,Clear,Night,CCTV
Harassment,Karol Bagh,2024-08-23,14:00:39,Low,West church sister fire finish perform.,15,Karol Bagh PS,Rainy,Afternoon,Police
Kidnapping,Mayur Vihar,2024-12-28,22:32:55,Medium,Against individual manage foreign produce perform bag visit message place.,62,Mayur Vihar PS,Cloudy,Morning,CCTV
Burglary,Hauz Khas,2025-01-09,16:58:01,High,Though rise past include color effort.,20,Hauz Khas PS,Cloudy,Evening,Citizen
Stalking,Hauz Khas,2023-02-08,19:59:11,High,Red top many gun leader knowledge.,55,Hauz Khas PS,Clear,Afternoon,Citizen
Stalking,Paharganj,2024-06-11,08:11:02,Low,Thought about serve hair put who man not happen level.,63,Paharganj PS,Foggy,Afternoon,Police
Burglary,Connaught Place,2024-07-13,11:21:53,High,Hotel task growth smile organization officer onto with he doctor.,46,Connaught Place PS,Rainy,Afternoon,CCTV
Harassment,Laxmi Nagar,2024-02-21,23:05:06,Low,Dog different together mention put they list remember.,36,Laxmi Nagar PS,Clear,Afternoon,CCTV
Kidnapping,Hauz Khas,2024-12-11,15:17:09,High,View really rather father phone affect decade.,20,Hauz Khas PS,Rainy,Morning,Police
Harassment,Janakpuri,2024-03-04,22:16:23,Low,Theory research war add be day network if.,19,Janakpuri PS,Rainy,Morning,CCTV
Stalking,Rohini,2023-10-05,13:29:25,Low,Religious might quite prepare program argue.,60,Rohini PS,Rainy,Morning,Police
Burglary,Paharganj,2023-08-29,06:22:43,Low,Federal property this rock reflect film class.,12,Paharganj PS,Clear,Afternoon,Citizen
Harassment,Khan Market,2023-12-17,02:46:23,Medium,Just ok culture whatever marriage audience probably stop shoulder attorney.,21,Khan Market PS,Rainy,Evening,CCTV
Assault,Sarojini Nagar,2024-12-20,22:34:59,Low,Indeed bill thought condition professor protect then teach street some.,29,Sarojini Nagar PS,Foggy,Morning,Police
Kidnapping,Lajpat Nagar,2024-07-15,18:39:54,Medium,Good American court myself day ok provide for.,50,Lajpat Nagar PS,Foggy,Night,Police
Stalking,Okhla,2024-05-19,04:48:50,Medium,Still security book seat bed.,58,Okhla PS,Clear,Night,Citizen
Theft,Saket,2023-11-06,00:36:25,Low,Word hospital inside commercial or accept throw heart.,43,Saket PS,Rainy,Evening,Police
Harassment,Greater Kailash,2024-04-09,15:26:43,Low,Bill full join condition.,14,Greater Kailash PS,Foggy,Morning,CCTV
Harassment,Khan Market,2023-11-08,10:59:25,High,Among once wonder imagine tend.,67,Khan Market PS,Cloudy,Night,Citizen
Assault,Paharganj,2024-01-24,04:38:38,High,Style political information including fast unit hard effort laugh she.,42,Paharganj PS,Cloudy,Afternoon,Police
Kidnapping,Pitampura,2024-11-13,00:32:51,Low,Determine peace still six summer news present she few.,69,Pitampura PS,Cloudy,Night,Police
Kidnapping,Dwarka,2023-04-21,10:10:29,High,Character race they the rate ground term.,17,Dwarka PS,Clear,Morning,Police
Burglary,Greater Kailash,2023-12-18,18:43:02,High,President can guy economic officer seem building scientist return suggest.,67,Greater Kailash PS,Foggy,Afternoon,Citizen
Burglary,Saket,2023-12-23,06:43:01,High,Laugh rise week friend leader bill.,63,Saket PS,Foggy,Afternoon,Police
Stalking,Khan Market,2024-02-20,22:35:54,High,Event bit down actually skin nor authority.,69,Khan Market PS,Clear,Evening,Police
Harassment,Dwarka,2023-11-07,05:33:09,Medium,Our rather give glass learn resource.,70,Dwarka PS,Cloudy,Morning,Citizen
Stalking,Rajouri Garden,2024-12-26,13:30:55,High,Generation with order education back scientist happy account particular everything community.,20,Rajouri Garden PS,Clear,Evening,Citizen
Stalking,Hauz Khas,2023-12-20,09:56:08,Low,Sister energy hard finally difficult.,24,Hauz Khas PS,Rainy,Night,Citizen
Kidnapping,Saket,2023-06-04,09:45:56,Medium,During full worry data way one.,59,Saket PS,Clear,Afternoon,Police
Kidnapping,Lajpat Nagar,2023-07-11,03:19:18,High,Relationship similar particularly suggest add whether cell.,44,Lajpat Nagar PS,Clear,Morning,CCTV
Burglary,Paharganj,2023-12-18,01:56:17,Low,Similar people age major reach paper notice.,36,Paharganj PS,Clear,Afternoon,CCTV
Theft,Rajouri Garden,2024-02-14,08:04:54,High,Drop add foot order easy American training according big fish.,19,Rajouri Garden PS,Cloudy,Night,Citizen
Theft,Greater Kailash,2024-03-11,12:46:25,High,Score save change season child tree never.,20,Greater Kailash PS,Cloudy,Afternoon,Police
Assault,Chandni Chowk,2024-01-06,14:13:23,Low,Cup against already culture leave culture sit eat wall.,62,Chandni Chowk PS,Clear,Night,Citizen
Theft,Chandni Chowk,2023-08-12,06:30:21,Medium,Candidate fast there draw boy century.,32,Chandni Chowk PS,Foggy,Afternoon,Police
Harassment,Pitampura,2024-01-24,14:13:57,High,And collection return a sense turn.,64,Pitampura PS,Cloudy,Night,Citizen
Stalking,Hauz Khas,2023-08-22,07:27:59,Low,Discuss whom sit analysis within including laugh rest food building.,11,Hauz Khas PS,Cloudy,Afternoon,CCTV
Kidnapping,Hauz Khas,2024-12-12,09:07:32,High,Strategy concern likely operation us.,21,Hauz Khas PS,Rainy,Night,Police
Assault,Paharganj,2023-08-02,17:54:40,Low,Civil pass write now politics race nature all.,43,Paharganj PS,Foggy,Afternoon,Police
Kidnapping,Rajouri Garden,2023-10-09,07:01:48,Medium,Little million stand scientist reality.,43,Rajouri Garden PS,Clear,Morning,Citizen
Assault,Rajouri Garden,2023-10-13,21:56:24,Low,Size green fire start the capital.,46,Rajouri Garden PS,Clear,Afternoon,Police
Stalking,Rajouri Garden,2024-10-14,19:05:49,Medium,Always believe why son lawyer truth.,36,Rajouri Garden PS,Rainy,Evening,Police
Stalking,Dwarka,2023-07-27,12:17:43,Medium,Treat here through happen compare month positive we defense business.,68,Dwarka PS,Foggy,Night,Police
Burglary,Paharganj,2023-05-13,18:52:18,Medium,Read east south then east language among affect pressure.,55,Paharganj PS,Cloudy,Evening,CCTV
Kidnapping,Dwarka,2024-03-27,17:38:38,Medium,Learn dark yeah campaign worker performance animal explain clear.,60,Dwarka PS,Foggy,Afternoon,Police
Kidnapping,Janakpuri,2024-01-18,16:17:14,High,Seven garden manager avoid piece difficult nearly beyond tell town.,57,Janakpuri PS,Cloudy,Morning,Police
Burglary,Okhla,2023-10-26,04:10:48,Medium,Room about foreign agent investment.,63,Okhla PS,Cloudy,Morning,Police
Theft,Chandni Chowk,2024-01-02,19:26:16,Low,Hundred teacher home story stock federal mother budget environment artist.,16,Chandni Chowk PS,Cloudy,Afternoon,CCTV
Harassment,Connaught Place,2024-04-20,13:54:10,Medium,Outside become son garden throw product including data bag green.,23,Connaught Place PS,Cloudy,Night,Police
Kidnapping,Paharganj,2023-04-14,13:56:37,Low,Garden consumer list hope since between.,47,Paharganj PS,Clear,Evening,Citizen
Assault,Saket,2023-10-07,11:57:02,Low,Yeah each concern light car thing green more.,22,Saket PS,Rainy,Night,Police
Assault,Chandni Chowk,2024-10-14,18:28:07,Low,Anything condition appear rate century available somebody majority field.,13,Chandni Chowk PS,Rainy,Night,Police
Stalking,Ashok Vihar,2023-06-10,01:18:04,Low,Serve there machine evidence old specific despite throw.,17,Ashok Vihar PS,Clear,Evening,CCTV
Assault,Dwarka,2025-01-25,02:46:34,Medium,Among list sell up body establish.,19,Dwarka PS,Foggy,Afternoon,Police
Theft,Vasant Kunj,2024-01-08,10:00:18,Medium,Very rise must girl eat have imagine.,11,Vasant Kunj PS,Cloudy,Night,Citizen
Kidnapping,Dwarka,2024-02-25,19:25:55,High,South center soon cause hand camera and section environmental.,32,Dwarka PS,Cloudy,Night,Police
Assault,Pitampura,2024-10-29,02:40:07,High,Role travel four story there quickly miss girl night change.,54,Pitampura PS,Clear,Night,Police
Harassment,Chandni Chowk,2024-04-25,08:39:49,Medium,Population wish whom foreign voice commercial.,38,Chandni Chowk PS,Cloudy,Evening,Police
Harassment,Rajouri Garden,2024-03-09,01:49:09,Medium,Drive too today available traditional.,32,Rajouri Garden PS,Clear,Evening,CCTV
Harassment,Ashok Vihar,2024-11-27,02:30:21,High,Father occur single successful trouble a include water front.,39,Ashok Vihar PS,Clear,Morning,Citizen
Assault,Janakpuri,2023-11-10,10:05:33,Low,Development contain will stop back option message go.,53,Janakpuri PS,Clear,Morning,CCTV
Kidnapping,Vasant Kunj,2024-08-01,15:22:58,High,Include drop wind address low number weight hold dog quickly.,66,Vasant Kunj PS,Cloudy,Evening,Citizen
Kidnapping,Paharganj,2025-01-11,19:47:56,Low,Carry nation simple fear very already early third.,30,Paharganj PS,Clear,Afternoon,Police
Kidnapping,Vasant Kunj,2023-08-03,10:36:58,Low,Though argue turn with firm.,49,Vasant Kunj PS,Cloudy,Afternoon,CCTV
Stalking,Ashok Vihar,2024-02-08,22:32:46,Low,Effort card ground front test early.,44,Ashok Vihar PS,Foggy,Afternoon,Police
Theft,Pitampura,2023-03-25,22:43:53,High,Four instead discuss understand seek.,15,Pitampura PS,Foggy,Morning,CCTV
Theft,Hauz Khas,2024-03-25,01:56:18,Medium,Mind future machine care late understand base data bar.,25,Hauz Khas PS,Rainy,Night,CCTV
Burglary,Lajpat Nagar,2023-12-03,04:40:39,Medium,Drug shoulder conference small will deep until law like option.,16,Lajpat Nagar PS,Clear,Evening,Police
Kidnapping,Sarojini Nagar,2023-04-11,02:06:11,High,Wait focus gun election throw often others imagine serious.,62,Sarojini Nagar PS,Rainy,Evening,Police
Burglary,Mayur Vihar,2024-01-30,20:19:11,Low,Thank conference player politics like nice start main world recognize phone.,31,Mayur Vihar PS,Clear,Afternoon,Citizen
Stalking,Karol Bagh,2024-07-12,03:40:10,High,Approach performance economy total name win.,33,Karol Bagh PS,Foggy,Afternoon,Citizen
Assault,Hauz Khas,2024-02-22,21:12:55,Low,Nothing family front play choose important.,47,Hauz Khas PS,Foggy,Afternoon,CCTV
Stalking,Lajpat Nagar,2024-11-12,20:21:09,Low,Purpose information group majority all front manager.,23,Lajpat Nagar PS,Rainy,Morning,CCTV
Theft,Pitampura,2024-09-12,06:03:19,Medium,Baby accept effect born area stock though music my outside.,38,Pitampura PS,Clear,Evening,Citizen
Theft,Saket,2025-01-28,22:57:12,Low,Involve country seek present ahead though financial.,30,Saket PS,Clear,Night,Police
Stalking,Rohini,2024-09-27,16:23:03,Low,Performance concern win simply woman.,29,Rohini PS,Cloudy,Evening,CCTV
Stalking,Saket,2024-06-30,19:55:30,Medium,Approach note between fish rich where themselves tax.,47,Saket PS,Rainy,Evening,Police
Burglary,Laxmi Nagar,2024-08-14,06:01:18,High,Hear adult social station woman gas his beat.,51,Laxmi Nagar PS,Cloudy,Evening,CCTV
Harassment,Sarojini Nagar,2023-09-23,03:43:24,Medium,Him before general attack top culture.,60,Sarojini Nagar PS,Cloudy,Afternoon,Police
Harassment,Greater Kailash,2023-08-19,06:53:14,High,Build new simply bar usually themselves with environmental field manage.,39,Greater Kailash PS,Cloudy,Morning,CCTV
Harassment,Khan Market,2024-08-22,15:46:58,Low,Discuss TV hear ever without apply teacher wonder throw hand.,37,Khan Market PS,Clear,Evening,CCTV
Theft,Hauz Khas,2024-10-11,12:12:28,High,Thing grow once kind knowledge know together west.,50,Hauz Khas PS,Foggy,Night,CCTV
Theft,Khan Market,2024-12-08,21:33:28,High,Theory alone chance worker experience.,66,Khan Market PS,Clear,Morning,Police
Harassment,Okhla,2024-12-31,11:48:22,Low,Can next purpose experience us account you.,27,Okhla PS,Foggy,Night,Police
Stalking,Karol Bagh,2024-06-16,06:09:01,Low,They check because that spring around test work easy a.,56,Karol Bagh PS,Clear,Night,Police
Kidnapping,Okhla,2024-07-26,00:26:01,Medium,History action different standard lawyer.,35,Okhla PS,Rainy,Afternoon,CCTV
Assault,Hauz Khas,2024-03-15,05:10:14,Medium,Admit weight clearly mouth once stock site establish son.,47,Hauz Khas PS,Rainy,Morning,Citizen
Kidnapping,Hauz Khas,2023-08-05,20:16:23,High,Benefit participant woman reason alone method one name.,46,Hauz Khas PS,Clear,Morning,CCTV
Stalking,Chandni Chowk,2024-03-06,04:41:44,Medium,Agreement enough begin no person here very sell whole little.,28,Chandni Chowk PS,Clear,Morning,Citizen
Kidnapping,Laxmi Nagar,2024-02-10,07:37:38,Low,Sure tough daughter chair none model unit.,30,Laxmi Nagar PS,Clear,Night,Citizen
Theft,Rajouri Garden,2024-09-22,16:00:28,High,Current call new write heart tax one real fish.,55,Rajouri Garden PS,Foggy,Night,Police
Theft,Saket,2024-01-30,17:49:48,Low,Activity from far big court leave out.,26,Saket PS,Clear,Night,Citizen
Assault,Rohini,2023-07-25,02:05:56,High,Agency sense challenge example whose off.,59,Rohini PS,Cloudy,Night,Police
Burglary,Okhla,2024-01-12,19:22:57,High,Baby usually with film allow leg unit.,66,Okhla PS,Cloudy,Morning,CCTV
Theft,Sarojini Nagar,2024-10-14,01:10:43,Low,Campaign now position third wall deep property call seven.,38,Sarojini Nagar PS,Rainy,Morning,Police
Burglary,Greater Kailash,2024-07-03,00:24:36,Medium,Cultural pay hot grow wonder north understand seem.,19,Greater Kailash PS,Rainy,Afternoon,Citizen
Assault,Mayur Vihar,2025-01-01,16:23:09,Medium,Role trial hold majority item pressure.,64,Mayur Vihar PS,Rainy,Morning,Police
Assault,Lajpat Nagar,2024-03-25,20:17:46,High,Break picture most board operation media care generation.,28,Lajpat Nagar PS,Foggy,Evening,CCTV
Stalking,Greater Kailash,2024-08-21,23:00:03,Low,As boy center guess ground lot road else.,36,Greater Kailash PS,Cloudy,Evening,Police
Stalking,Ashok Vihar,2023-11-09,06:55:06,Medium,Six public throughout friend enough policy dinner collection hotel area.,19,Ashok Vihar PS,Rainy,Night,CCTV
Harassment,Hauz Khas,2023-12-06,18:29:56,Medium,Lot local career every drop small.,13,Hauz Khas PS,Clear,Morning,CCTV
Kidnapping,Connaught Place,2023-02-27,12:21:51,Low,Bad great sort next dark.,69,Connaught Place PS,Cloudy,Evening,Citizen
Theft,Janakpuri,2024-01-01,04:34:30,Low,Should upon know activity good sense happy avoid.,40,Janakpuri PS,Cloudy,Afternoon,Police
Harassment,Sarojini Nagar,2023-08-31,12:23:31,High,Relationship anyone when weight sort art medical collection.,57,Sarojini Nagar PS,Clear,Night,Police
Harassment,Greater Kailash,2023-12-06,21:03:34,High,Eye man nor attack TV language.,24,Greater Kailash PS,Foggy,Afternoon,Police
Kidnapping,Greater Kailash,2024-07-03,13:18:07,High,Strong with ago why company health dream law.,23,Greater Kailash PS,Rainy,Morning,CCTV
Theft,Laxmi Nagar,2023-04-18,08:06:17,High,History specific fill white certainly modern begin source size.,22,Laxmi Nagar PS,Rainy,Evening,Police
Burglary,Rohini,2024-01-11,04:39:11,Low,Beyond common space there artist Democrat government.,12,Rohini PS,Clear,Evening,Police
Burglary,Lajpat Nagar,2024-11-29,14:56:34,Medium,Movie eat benefit research suggest guess watch occur occur to.,48,Lajpat Nagar PS,Clear,Afternoon,Citizen
Kidnapping,Karol Bagh,2025-01-15,20:00:27,High,State build property paper first loss lead quickly blood daughter.,29,Karol Bagh PS,Clear,Morning,Police
Assault,Hauz Khas,2024-03-09,08:47:21,High,Attack nor oil scientist everybody heavy whatever really be.,56,Hauz Khas PS,Cloudy,Night,Citizen
Assault,Okhla,2024-12-13,23:50:37,Low,Arm but want blue option.,49,Okhla PS,Rainy,Night,CCTV
Theft,Paharganj,2023-03-14,06:00:15,Low,Theory turn woman responsibility nothing teach soldier measure ball miss.,68,Paharganj PS,Foggy,Morning,CCTV
Kidnapping,Hauz Khas,2024-06-18,03:16:27,High,Weight friend Mr memory budget religious of before over.,37,Hauz Khas PS,Rainy,Night,CCTV
Theft,Sarojini Nagar,2023-08-27,02:38:27,Low,Number represent treatment success wait within above.,32,Sarojini Nagar PS,Rainy,Evening,CCTV
Burglary,Saket,2024-04-08,17:42:50,Low,Side decide nor likely sometimes.,40,Saket PS,Clear,Night,Citizen
Kidnapping,Rajouri Garden,2023-11-20,10:51:48,High,It assume several sure yourself store that family seek generation.,24,Rajouri Garden PS,Rainy,Night,Police
Stalking,Mayur Vihar,2023-09-27,19:03:48,Medium,Tell listen parent outside kid current something along parent add.,25,Mayur Vihar PS,Rainy,Evening,Citizen
Harassment,Hauz Khas,2024-12-28,23:20:01,High,Business nature next firm face learn building class success.,10,Hauz Khas PS,Foggy,Evening,Citizen
Stalking,Hauz Khas,2023-02-16,19:48:36,Low,Serious local better other laugh toward.,36,Hauz Khas PS,Foggy,Night,Citizen
Stalking,Pitampura,2023-08-02,23:52:34,High,Mind we hard hair black.,33,Pitampura PS,Foggy,Morning,Citizen
Stalking,Karol Bagh,2024-05-27,18:08:26,High,North for hope kid election short.,51,Karol Bagh PS,Rainy,Morning,Citizen
Theft,Ashok Vihar,2023-10-31,09:14:03,High,Author evening past thought occur his scene voice.,58,Ashok Vihar PS,Rainy,Evening,Police
Burglary,Vasant Kunj,2024-07-24,14:50:07,High,Box plant something team own full yard.,11,Vasant Kunj PS,Foggy,Afternoon,CCTV
Harassment,Chandni Chowk,2023-10-20,04:07:39,High,Plant without certainly sell land event allow fish every.,14,Chandni Chowk PS,Foggy,Evening,Citizen
Theft,Greater Kailash,2023-07-22,20:25:39,Low,Him bad keep beyond hour.,34,Greater Kailash PS,Foggy,Morning,CCTV
Kidnapping,Khan Market,2023-02-16,08:43:23,High,Suddenly plant although practice likely community relationship grow always mind.,25,Khan Market PS,Foggy,Afternoon,CCTV
Stalking,Chandni Chowk,2024-02-07,06:21:07,Medium,Nearly Democrat heavy city class officer.,41,Chandni Chowk PS,Foggy,Night,Citizen
Assault,Chandni Chowk,2023-09-15,17:06:08,Medium,Challenge just finish pattern heavy.,70,Chandni Chowk PS,Cloudy,Evening,Citizen
Stalking,Chandni Chowk,2023-11-15,19:28:19,Medium,Of report visit early trouble.,66,Chandni Chowk PS,Foggy,Evening,CCTV
Kidnapping,Ashok Vihar,2023-04-18,05:54:03,High,Dark next few until outside.,21,Ashok Vihar PS,Rainy,Afternoon,CCTV
Kidnapping,Paharganj,2023-11-23,05:08:04,Low,College I hope the area region.,23,Paharganj PS,Foggy,Morning,Citizen
Harassment,Okhla,2024-09-28,17:10:41,High,Begin step model education thus but reveal billion hard step.,66,Okhla PS,Clear,Night,Police
Kidnapping,Dwarka,2024-05-24,07:44:04,High,Choice simple artist score act even shake.,16,Dwarka PS,Cloudy,Evening,Police
