id,text,location,date,sentiment
996,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-09-18,Neutral
997,Self-defense workshops for women are gaining popularity in Hauz Khas.,Pitampura,2023-10-07,Positive
998,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-02-23,Positive
999,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-09-07,Neutral
1000,Public transport usage among women has remained stable this year.,Kalkaji,2023-09-18,Neutral
1001,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-06-01,Positive
1002,NGOs held an awareness campaign in Connaught Place.,Lajpat Nagar,2023-04-28,Neutral
1003,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-03-23,Neutral
1004,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-11-25,Negative
1005,Delhi police launches new helpline for women safety.,Saket,2023-03-27,Positive
1006,Recent survey shows rising fear among women in Delhi.,Mayur Vihar,2023-05-07,Negative
1007,Police response to complaints in Rohini remains slow.,Pitampura,2023-05-13,Negative
1008,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-05-04,Neutral
1009,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-08-04,Neutral
1010,Delhi police launches new helpline for women safety.,Karol Bagh,2023-07-27,Positive
1011,New mobile app helps women report harassment instantly.,Chandni Chowk,2023-10-19,Positive
1012,Public transport usage among women has remained stable this year.,Kalkaji,2023-08-22,Neutral
1013,Self-defense workshops for women are gaining popularity in Hauz Khas.,Kalkaji,2023-12-26,Positive
1014,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-12-31,Negative
1015,Self-defense workshops for women are gaining popularity in Hauz Khas.,Greater Kailash,2023-03-06,Positive
1016,Delhi police launches new helpline for women safety.,Greater Kailash,2023-04-16,Positive
1017,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-12-08,Neutral
1018,Public transport usage among women has remained stable this year.,Karol Bagh,2023-02-17,Neutral
1019,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-06-06,Positive
1020,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-03-24,Neutral
1021,Self-defense workshops for women are gaining popularity in Hauz Khas.,Greater Kailash,2023-10-20,Positive
1022,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-11-11,Neutral
1023,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-07-28,Positive
1024,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-05-29,Positive
1025,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-11-08,Neutral
1026,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-03-09,Negative
1027,Another case of harassment reported near Saket metro station.,Greater Kailash,2023-03-10,Negative
1028,Women feel unsafe walking alone at night in Rajouri Garden.,Saket,2023-01-13,Negative
1029,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-05-25,Neutral
1030,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-12-20,Neutral
1031,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-07-11,Negative
1032,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-12-24,Negative
1033,NGOs held an awareness campaign in Connaught Place.,Connaught Place,2023-12-25,Neutral
1034,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-06-02,Neutral
1035,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-07-25,Neutral
1036,Lack of proper street lighting makes Chandni Chowk unsafe.,Connaught Place,2023-06-26,Negative
1037,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-05-06,Neutral
1038,Recent survey shows rising fear among women in Delhi.,Pitampura,2023-03-10,Negative
1039,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-02-27,Neutral
1040,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-01-01,Neutral
1041,Recent survey shows rising fear among women in Delhi.,Pitampura,2023-07-25,Negative
1042,Women feel unsafe walking alone at night in Rajouri Garden.,Karol Bagh,2023-12-16,Negative
1043,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-01-17,Positive
1044,Another case of harassment reported near Saket metro station.,Saket,2023-11-18,Negative
1045,Women safety measures were discussed in the Delhi Assembly.,Dwarka,2023-09-19,Neutral
1046,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-08-25,Negative
1047,Police response to complaints in Rohini remains slow.,Saket,2023-04-13,Negative
1048,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-02-22,Neutral
1049,Another case of harassment reported near Saket metro station.,Rajouri Garden,2023-01-30,Negative
1050,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-06-12,Neutral
1051,Police response to complaints in Rohini remains slow.,Saket,2023-08-20,Negative
1052,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-03-31,Neutral
1053,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-04-04,Positive
1054,NGOs held an awareness campaign in Connaught Place.,Nehru Place,2023-12-02,Neutral
1055,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-04-20,Neutral
1056,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-01-23,Positive
1057,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-12-01,Negative
1058,Self-defense workshops for women are gaining popularity in Hauz Khas.,Dwarka,2023-05-03,Positive
1059,New mobile app helps women report harassment instantly.,Connaught Place,2023-02-08,Positive
1060,Police response to complaints in Rohini remains slow.,Chandni Chowk,2023-11-17,Negative
1061,Another case of harassment reported near Saket metro station.,Rajouri Garden,2023-05-14,Negative
1062,Police response to complaints in Rohini remains slow.,Saket,2023-01-09,Negative
1063,Another case of harassment reported near Saket metro station.,Kalkaji,2023-08-17,Negative
1064,More street lights installed in Dwarka to improve safety.,Vasant Kunj,2023-10-20,Positive
1065,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-03-08,Neutral
1066,Lack of proper street lighting makes Chandni Chowk unsafe.,Greater Kailash,2023-07-02,Negative
1067,Another case of harassment reported near Saket metro station.,Kalkaji,2023-03-31,Negative
1068,Delhi police launches new helpline for women safety.,Rohini,2023-02-14,Positive
1069,Public transport usage among women has remained stable this year.,Rohini,2023-03-14,Neutral
1070,More street lights installed in Dwarka to improve safety.,Vasant Kunj,2023-11-10,Positive
1071,NGOs held an awareness campaign in Connaught Place.,Saket,2023-11-11,Neutral
1072,Women safety measures were discussed in the Delhi Assembly.,Pitampura,2023-09-12,Neutral
1073,Women safety measures were discussed in the Delhi Assembly.,Kalkaji,2023-06-09,Neutral
1074,Self-defense workshops for women are gaining popularity in Hauz Khas.,Chandni Chowk,2023-04-27,Positive
1075,Women feel unsafe walking alone at night in Rajouri Garden.,Rajouri Garden,2023-05-06,Negative
1076,Public transport usage among women has remained stable this year.,Greater Kailash,2023-07-20,Neutral
1077,Delhi police launches new helpline for women safety.,Mayur Vihar,2023-06-28,Positive
1078,Traffic congestion continues to be an issue across Delhi.,Saket,2023-03-22,Neutral
1079,Recent survey shows rising fear among women in Delhi.,Mayur Vihar,2023-10-25,Negative
1080,Public transport usage among women has remained stable this year.,Nehru Place,2023-08-13,Neutral
1081,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-09-27,Neutral
1082,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-11-09,Neutral
1083,Another case of harassment reported near Saket metro station.,Nehru Place,2023-01-10,Negative
1084,Lack of proper street lighting makes Chandni Chowk unsafe.,Rajouri Garden,2023-08-03,Negative
1085,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-05-20,Neutral
1086,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-03-09,Neutral
1087,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-01-15,Positive
1088,Police response to complaints in Rohini remains slow.,Connaught Place,2023-02-01,Negative
1089,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-02-02,Neutral
1090,Traffic congestion continues to be an issue across Delhi.,Pitampura,2023-01-31,Neutral
1091,New mobile app helps women report harassment instantly.,Rajouri Garden,2023-08-22,Positive
1092,Increased patrolling has reduced crime rates in Karol Bagh.,Mayur Vihar,2023-07-13,Positive
1093,Self-defense workshops for women are gaining popularity in Hauz Khas.,Pitampura,2023-08-13,Positive
1094,Traffic congestion continues to be an issue across Delhi.,Greater Kailash,2023-01-31,Neutral
1095,Recent survey shows rising fear among women in Delhi.,Nehru Place,2023-03-31,Negative
1096,Self-defense workshops for women are gaining popularity in Hauz Khas.,Connaught Place,2023-01-27,Positive
1097,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-08-06,Positive
1098,Increased patrolling has reduced crime rates in Karol Bagh.,Lajpat Nagar,2023-07-10,Positive
1099,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-10-05,Neutral
1100,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-01-31,Negative
1101,More street lights installed in Dwarka to improve safety.,Mayur Vihar,2023-09-11,Positive
1102,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-05-31,Neutral
1103,Increased patrolling has reduced crime rates in Karol Bagh.,Chandni Chowk,2023-02-21,Positive
1104,Delhi police launches new helpline for women safety.,Rohini,2023-02-10,Positive
1105,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-12-19,Positive
1106,Public transport usage among women has remained stable this year.,Rohini,2023-02-15,Neutral
1107,New mobile app helps women report harassment instantly.,Karol Bagh,2023-06-04,Positive
1108,More street lights installed in Dwarka to improve safety.,Rohini,2023-10-06,Positive
1109,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-02-25,Neutral
1110,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-04-14,Negative
1111,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-05-20,Positive
1112,Public transport usage among women has remained stable this year.,Mayur Vihar,2023-10-31,Neutral
1113,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-11-26,Neutral
1114,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-05-15,Positive
1115,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-09-06,Neutral
1116,Women feel unsafe walking alone at night in Rajouri Garden.,Saket,2023-09-04,Negative
1117,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-05-29,Neutral
1118,Traffic congestion continues to be an issue across Delhi.,Connaught Place,2023-09-16,Neutral
1119,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-12-23,Positive
1120,New mobile app helps women report harassment instantly.,Rajouri Garden,2023-10-21,Positive
1121,New mobile app helps women report harassment instantly.,Saket,2023-09-23,Positive
1122,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-08-19,Neutral
1123,NGOs held an awareness campaign in Connaught Place.,Lajpat Nagar,2023-06-16,Neutral
1124,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-02-06,Positive
1125,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-06-29,Neutral
1126,Delhi police launches new helpline for women safety.,Nehru Place,2023-11-25,Positive
1127,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-06-20,Neutral
1128,Traffic congestion continues to be an issue across Delhi.,Lajpat Nagar,2023-11-14,Neutral
1129,Another case of harassment reported near Saket metro station.,Rajouri Garden,2023-02-24,Negative
1130,Women feel unsafe walking alone at night in Rajouri Garden.,Dwarka,2023-09-08,Negative
1131,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-03-28,Positive
1132,Public transport usage among women has remained stable this year.,Greater Kailash,2023-02-26,Neutral
1133,Women feel unsafe walking alone at night in Rajouri Garden.,Greater Kailash,2023-08-22,Negative
1134,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-03-02,Neutral
1135,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-06-27,Negative
1136,New mobile app helps women report harassment instantly.,Pitampura,2023-04-04,Positive
1137,Traffic congestion continues to be an issue across Delhi.,Greater Kailash,2023-11-25,Neutral
1138,Public transport usage among women has remained stable this year.,Greater Kailash,2023-09-07,Neutral
1139,Women feel unsafe walking alone at night in Rajouri Garden.,Karol Bagh,2023-08-07,Negative
1140,Increased patrolling has reduced crime rates in Karol Bagh.,Rohini,2023-12-24,Positive
1141,NGOs held an awareness campaign in Connaught Place.,Rohini,2023-09-09,Neutral
1142,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-02-10,Positive
1143,Increased patrolling has reduced crime rates in Karol Bagh.,Vasant Kunj,2023-10-22,Positive
1144,Another case of harassment reported near Saket metro station.,Connaught Place,2023-04-01,Negative
1145,Police response to complaints in Rohini remains slow.,Pitampura,2023-04-06,Negative
1146,NGOs held an awareness campaign in Connaught Place.,Dwarka,2023-03-23,Neutral
1147,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-05-05,Neutral
1148,Traffic congestion continues to be an issue across Delhi.,Connaught Place,2023-11-15,Neutral
1149,More street lights installed in Dwarka to improve safety.,Hauz Khas,2023-08-13,Positive
1150,Public transport usage among women has remained stable this year.,Karol Bagh,2023-01-19,Neutral
1151,Public transport usage among women has remained stable this year.,Connaught Place,2023-03-10,Neutral
1152,Lack of proper street lighting makes Chandni Chowk unsafe.,Lajpat Nagar,2023-07-21,Negative
1153,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-03-24,Neutral
1154,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-02-10,Positive
1155,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-04-17,Neutral
1156,Women feel unsafe walking alone at night in Rajouri Garden.,Lajpat Nagar,2023-05-05,Negative
1157,Increased patrolling has reduced crime rates in Karol Bagh.,Rajouri Garden,2023-03-26,Positive
1158,The metro is the preferred mode of transport for women in Delhi.,Lajpat Nagar,2023-08-02,Neutral
1159,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-08-03,Neutral
1160,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-10-21,Neutral
1161,Public transport usage among women has remained stable this year.,Greater Kailash,2023-03-25,Neutral
1162,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-12-09,Neutral
1163,Women feel unsafe walking alone at night in Rajouri Garden.,Saket,2023-10-16,Negative
1164,NGOs held an awareness campaign in Connaught Place.,Greater Kailash,2023-04-01,Neutral
1165,Traffic congestion continues to be an issue across Delhi.,Lajpat Nagar,2023-01-09,Neutral
1166,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-07-13,Neutral
1167,Women feel unsafe walking alone at night in Rajouri Garden.,Chandni Chowk,2023-01-15,Negative
1168,New mobile app helps women report harassment instantly.,Vasant Kunj,2023-09-03,Positive
1169,Recent survey shows rising fear among women in Delhi.,Rohini,2023-03-25,Negative
1170,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-12-22,Neutral
1171,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-11-01,Neutral
1172,New mobile app helps women report harassment instantly.,Pitampura,2023-03-25,Positive
1173,Women feel unsafe walking alone at night in Rajouri Garden.,Mayur Vihar,2023-05-27,Negative
1174,Recent survey shows rising fear among women in Delhi.,Nehru Place,2023-04-21,Negative
1175,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-07-30,Neutral
1176,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-04-24,Positive
1177,Another case of harassment reported near Saket metro station.,Pitampura,2023-09-28,Negative
1178,Lack of proper street lighting makes Chandni Chowk unsafe.,Kalkaji,2023-07-08,Negative
1179,Increased patrolling has reduced crime rates in Karol Bagh.,Greater Kailash,2023-01-31,Positive
1180,Public transport usage among women has remained stable this year.,Dwarka,2023-06-18,Neutral
1181,Delhi police launches new helpline for women safety.,Karol Bagh,2023-05-11,Positive
1182,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-04-24,Neutral
1183,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-08-18,Negative
1184,Public transport usage among women has remained stable this year.,Greater Kailash,2023-09-18,Neutral
1185,More street lights installed in Dwarka to improve safety.,Mayur Vihar,2023-11-14,Positive
1186,Police response to complaints in Rohini remains slow.,Rohini,2023-07-13,Negative
1187,Women safety measures were discussed in the Delhi Assembly.,Rohini,2023-11-23,Neutral
1188,Women safety measures were discussed in the Delhi Assembly.,Chandni Chowk,2023-01-01,Neutral
1189,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-05-31,Neutral
1190,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-09-08,Negative
1191,Police response to complaints in Rohini remains slow.,Kalkaji,2023-09-05,Negative
1192,New mobile app helps women report harassment instantly.,Nehru Place,2023-05-18,Positive
1193,Women safety measures were discussed in the Delhi Assembly.,Chandni Chowk,2023-05-08,Neutral
1194,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-03-10,Negative
1195,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-06-26,Neutral
1196,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-06-07,Neutral
1197,Women feel unsafe walking alone at night in Rajouri Garden.,Karol Bagh,2023-04-13,Negative
1198,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-10-31,Negative
1199,More street lights installed in Dwarka to improve safety.,Pitampura,2023-07-25,Positive
1200,Another case of harassment reported near Saket metro station.,Nehru Place,2023-02-08,Negative
1201,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-07-24,Negative
1202,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-03-11,Neutral
1203,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-01-01,Neutral
1204,Traffic congestion continues to be an issue across Delhi.,Hauz Khas,2023-09-03,Neutral
1205,Traffic congestion continues to be an issue across Delhi.,Nehru Place,2023-09-22,Neutral
1206,Increased patrolling has reduced crime rates in Karol Bagh.,Greater Kailash,2023-09-09,Positive
1207,Traffic congestion continues to be an issue across Delhi.,Saket,2023-05-16,Neutral
1208,Public transport usage among women has remained stable this year.,Connaught Place,2023-07-01,Neutral
1209,Police response to complaints in Rohini remains slow.,Dwarka,2023-01-20,Negative
1210,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-05-15,Positive
1211,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-02-11,Neutral
1212,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-01-15,Negative
1213,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-01-17,Positive
1214,More street lights installed in Dwarka to improve safety.,Pitampura,2023-09-11,Positive
1215,Recent survey shows rising fear among women in Delhi.,Vasant Kunj,2023-09-05,Negative
1216,Women safety measures were discussed in the Delhi Assembly.,Karol Bagh,2023-04-14,Neutral
1217,NGOs held an awareness campaign in Connaught Place.,Connaught Place,2023-12-25,Neutral
1218,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-06-09,Neutral
1219,Women feel unsafe walking alone at night in Rajouri Garden.,Vasant Kunj,2023-09-15,Negative
1220,More street lights installed in Dwarka to improve safety.,Rohini,2023-10-28,Positive
1221,Women safety measures were discussed in the Delhi Assembly.,Chandni Chowk,2023-06-30,Neutral
1222,Another case of harassment reported near Saket metro station.,Saket,2023-05-02,Negative
1223,Lack of proper street lighting makes Chandni Chowk unsafe.,Chandni Chowk,2023-04-15,Negative
1224,The metro is the preferred mode of transport for women in Delhi.,Kalkaji,2023-03-07,Neutral
1225,Recent survey shows rising fear among women in Delhi.,Rajouri Garden,2023-02-07,Negative
1226,NGOs held an awareness campaign in Connaught Place.,Saket,2023-05-03,Neutral
1227,New mobile app helps women report harassment instantly.,Connaught Place,2023-10-29,Positive
1228,Increased patrolling has reduced crime rates in Karol Bagh.,Mayur Vihar,2023-11-12,Positive
1229,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-11-13,Positive
1230,Traffic congestion continues to be an issue across Delhi.,Greater Kailash,2023-09-22,Neutral
1231,Self-defense workshops for women are gaining popularity in Hauz Khas.,Nehru Place,2023-12-31,Positive
1232,New mobile app helps women report harassment instantly.,Hauz Khas,2023-03-17,Positive
1233,Public transport usage among women has remained stable this year.,Rohini,2023-11-01,Neutral
1234,Women feel unsafe walking alone at night in Rajouri Garden.,Vasant Kunj,2023-02-09,Negative
1235,The metro is the preferred mode of transport for women in Delhi.,Kalkaji,2023-09-29,Neutral
1236,Lack of proper street lighting makes Chandni Chowk unsafe.,Vasant Kunj,2023-09-12,Negative
1237,Lack of proper street lighting makes Chandni Chowk unsafe.,Saket,2023-05-10,Negative
1238,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-06-22,Neutral
1239,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-10-23,Positive
1240,Police response to complaints in Rohini remains slow.,Vasant Kunj,2023-12-24,Negative
1241,Delhi police launches new helpline for women safety.,Hauz Khas,2023-02-15,Positive
1242,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-01-10,Neutral
1243,Recent survey shows rising fear among women in Delhi.,Vasant Kunj,2023-07-03,Negative
1244,Public transport usage among women has remained stable this year.,Mayur Vihar,2023-04-01,Neutral
1245,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-04-05,Neutral
1246,Traffic congestion continues to be an issue across Delhi.,Nehru Place,2023-02-08,Neutral
1247,Delhi police launches new helpline for women safety.,Lajpat Nagar,2023-10-07,Positive
1248,Delhi police launches new helpline for women safety.,Kalkaji,2023-05-04,Positive
1249,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-04-06,Positive
1250,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-05-24,Neutral
1251,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-03-07,Positive
1252,Self-defense workshops for women are gaining popularity in Hauz Khas.,Greater Kailash,2023-12-05,Positive
1253,Public transport usage among women has remained stable this year.,Dwarka,2023-06-03,Neutral
1254,Police response to complaints in Rohini remains slow.,Saket,2023-10-16,Negative
1255,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-07-12,Neutral
1256,NGOs held an awareness campaign in Connaught Place.,Dwarka,2023-12-16,Neutral
1257,More street lights installed in Dwarka to improve safety.,Karol Bagh,2023-08-29,Positive
1258,Police response to complaints in Rohini remains slow.,Nehru Place,2023-01-29,Negative
1259,Police response to complaints in Rohini remains slow.,Mayur Vihar,2023-08-25,Negative
1260,Increased patrolling has reduced crime rates in Karol Bagh.,Lajpat Nagar,2023-10-13,Positive
1261,Women safety measures were discussed in the Delhi Assembly.,Karol Bagh,2023-04-23,Neutral
1262,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-06-02,Neutral
1263,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-08-01,Neutral
1264,Self-defense workshops for women are gaining popularity in Hauz Khas.,Kalkaji,2023-02-19,Positive
1265,Recent survey shows rising fear among women in Delhi.,Nehru Place,2023-11-20,Negative
1266,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-12-23,Neutral
1267,Traffic congestion continues to be an issue across Delhi.,Hauz Khas,2023-09-06,Neutral
1268,Self-defense workshops for women are gaining popularity in Hauz Khas.,Connaught Place,2023-07-01,Positive
1269,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-06-11,Positive
1270,Another case of harassment reported near Saket metro station.,Lajpat Nagar,2023-03-24,Negative
1271,More street lights installed in Dwarka to improve safety.,Vasant Kunj,2023-12-14,Positive
1272,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-01-13,Neutral
1273,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-10-22,Neutral
1274,Women safety measures were discussed in the Delhi Assembly.,Hauz Khas,2023-11-07,Neutral
1275,Women safety measures were discussed in the Delhi Assembly.,Karol Bagh,2023-10-28,Neutral
1276,Another case of harassment reported near Saket metro station.,Saket,2023-11-29,Negative
1277,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-10-28,Negative
1278,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-09-08,Negative
1279,Self-defense workshops for women are gaining popularity in Hauz Khas.,Chandni Chowk,2023-12-14,Positive
1280,Self-defense workshops for women are gaining popularity in Hauz Khas.,Kalkaji,2023-04-07,Positive
1281,Women feel unsafe walking alone at night in Rajouri Garden.,Karol Bagh,2023-12-02,Negative
1282,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-04-07,Positive
1283,Public transport usage among women has remained stable this year.,Dwarka,2023-01-02,Neutral
1284,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-07-08,Negative
1285,Delhi police launches new helpline for women safety.,Kalkaji,2023-10-03,Positive
1286,Lack of proper street lighting makes Chandni Chowk unsafe.,Saket,2023-11-17,Negative
1287,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-03-30,Neutral
1288,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-03-17,Negative
1289,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-04-29,Negative
1290,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-07-16,Neutral
1291,Women feel unsafe walking alone at night in Rajouri Garden.,Lajpat Nagar,2023-10-30,Negative
1292,Increased patrolling has reduced crime rates in Karol Bagh.,Mayur Vihar,2023-04-14,Positive
1293,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-09-29,Neutral
1294,Another case of harassment reported near Saket metro station.,Vasant Kunj,2023-10-19,Negative
1295,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-05-26,Negative
1296,Another case of harassment reported near Saket metro station.,Mayur Vihar,2023-10-16,Negative
1297,Another case of harassment reported near Saket metro station.,Greater Kailash,2023-08-04,Negative
1298,Delhi police launches new helpline for women safety.,Karol Bagh,2023-07-08,Positive
1299,New mobile app helps women report harassment instantly.,Dwarka,2023-04-19,Positive
1300,Women feel unsafe walking alone at night in Rajouri Garden.,Mayur Vihar,2023-09-16,Negative
1301,Women feel unsafe walking alone at night in Rajouri Garden.,Hauz Khas,2023-05-12,Negative
1302,Increased patrolling has reduced crime rates in Karol Bagh.,Chandni Chowk,2023-08-06,Positive
1303,Police response to complaints in Rohini remains slow.,Rohini,2023-04-14,Negative
1304,The metro is the preferred mode of transport for women in Delhi.,Saket,2023-05-24,Neutral
1305,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-09-02,Neutral
1306,The metro is the preferred mode of transport for women in Delhi.,Lajpat Nagar,2023-10-25,Neutral
1307,Another case of harassment reported near Saket metro station.,Chandni Chowk,2023-08-25,Negative
1308,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-01-18,Neutral
1309,Another case of harassment reported near Saket metro station.,Rohini,2023-05-25,Negative
1310,Delhi police launches new helpline for women safety.,Nehru Place,2023-05-28,Positive
1311,Another case of harassment reported near Saket metro station.,Chandni Chowk,2023-04-21,Negative
1312,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-05-11,Neutral
1313,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-02-24,Neutral
1314,New mobile app helps women report harassment instantly.,Nehru Place,2023-03-22,Positive
1315,Delhi police launches new helpline for women safety.,Karol Bagh,2023-05-01,Positive
1316,New mobile app helps women report harassment instantly.,Rohini,2023-05-05,Positive
1317,Public transport usage among women has remained stable this year.,Hauz Khas,2023-08-30,Neutral
1318,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-01-28,Negative
1319,Increased patrolling has reduced crime rates in Karol Bagh.,Mayur Vihar,2023-12-11,Positive
1320,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-03-29,Positive
